binomial;hits;hits_n;ignored;ignored_n;monkey;stimulus;task;wrong;wrong_n;adjusted_p
1.22136323407393e-13;0.9142857142857143;64.0;0.0;0.0;a;str;2 Visual Stimuli;6.0;6.0;3.175544408592218e-12
4.1470364875107315e-09;0.6858638743455497;131.0;0.03664921465968586;7.0;b;str;2 Visual Stimuli;53.0;53.0;1.0782294867527901e-07
0.5770667735853804;0.4896265560165975;118.0;0.012448132780082987;3.0;c;str;2 Visual Stimuli;120.0;120.0;1.0
7.74883168358595e-55;0.9082278481012658;287.0;0.0;0.0;d;str;2 Visual Stimuli;29.0;29.0;2.014696237732347e-53
8.287472862828647e-25;0.7387387387387387;328.0;0.0;0.0;e;str;2 Visual Stimuli;116.0;116.0;2.1547429443354483e-23
0.9445303440576936;0.4188034188034188;49.0;0.02564102564102564;3.0;f;str;2 Visual Stimuli;65.0;65.0;1.0
1.1972120396848498e-74;0.8954248366013072;411.0;0.004357298474945534;2.0;i;str;2 Visual Stimuli;46.0;46.0;3.11275130318061e-73
1.6239764217729997e-05;0.5384615384615384;161.0;0.14715719063545152;44.0;j;str;2 Visual Stimuli;94.0;94.0;0.0004222338696609799
2.9596672694655483e-13;0.671875;215.0;0.046875;15.0;k;str;2 Visual Stimuli;90.0;90.0;7.695134900610426e-12
1.9590605730151117e-12;0.8571428571428571;72.0;0.011904761904761904;1.0;a;voc;2 Visual Stimuli;11.0;11.0;5.0935574898392906e-11
1.042360658917389e-19;0.8253012048192772;137.0;0.018072289156626505;3.0;b;voc;2 Visual Stimuli;26.0;26.0;2.7101377131852112e-18
0.9951080332054906;0.4229390681003584;118.0;0.0035842293906810036;1.0;c;voc;2 Visual Stimuli;160.0;160.0;1.0
2.4545317849244377e-80;0.9634146341463414;316.0;0.006097560975609756;2.0;d;voc;2 Visual Stimuli;10.0;10.0;6.381782640803538e-79
9.976425538246393e-21;0.7074235807860262;324.0;0.010917030567685589;5.0;e;voc;2 Visual Stimuli;129.0;129.0;2.5938706399440623e-19
0.6968520311530171;0.4639175257731959;45.0;0.030927835051546393;3.0;f;voc;2 Visual Stimuli;49.0;49.0;1.0
1.2260542037812441e-46;0.8173719376391982;367.0;0.011135857461024499;5.0;i;voc;2 Visual Stimuli;77.0;77.0;3.1877409298312344e-45
0.9999994022144224;0.33052631578947367;157.0;0.13473684210526315;64.0;j;voc;2 Visual Stimuli;254.0;254.0;1.0
0.11651176968315961;0.5129533678756477;198.0;0.03626943005181347;14.0;k;voc;2 Visual Stimuli;174.0;174.0;1.0
1.991977798914277e-16;0.6896551724137931;300.0;0.006896551724137931;3.0;g;voc;3 Visual Stimuli;132.0;132.0;5.179142277177121e-15
1.7930806242721786e-08;0.6342105263157894;241.0;0.013157894736842105;5.0;h;voc;3 Visual Stimuli;134.0;134.0;4.662009623107664e-07
3.529765712191973e-05;0.625;125.0;0.03;6.0;j;voc;3 Visual Stimuli;69.0;69.0;0.0009177390851699129
1.5430983533257977e-74;0.8775100401606426;437.0;0.010040160642570281;5.0;k;voc;3 Visual Stimuli;56.0;56.0;4.012055718647074e-73
1.2777897828392235e-09;0.6361556064073226;278.0;0.011441647597254004;5.0;g;str;3 Visual Stimuli;154.0;154.0;3.322253435381981e-08
2.386597791936007e-10;0.6520618556701031;253.0;0.010309278350515464;4.0;h;str;3 Visual Stimuli;131.0;131.0;6.2051542590336175e-09
2.787765719814117e-08;0.6531531531531531;145.0;0.04954954954954955;11.0;j;str;3 Visual Stimuli;66.0;66.0;7.248190871516704e-07
1.86832655193143e-93;0.9145129224652088;460.0;0.009940357852882704;5.0;k;str;3 Visual Stimuli;38.0;38.0;4.857649035021718e-92
